"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.968027294E1,3.053834350E1,1.143560821E2,2.550543402E1,6.891877262E-1,6.874272104E1,1.422409733E1,1.010425101E1
6.068025994E1,3.053833943E1,1.143560896E2,2.550482373E1,7.375223209E-1,7.695375601E1,1.422427735E1,1.010399759E1
6.168024802E1,3.053833863E1,1.143560954E2,2.562807696E1,6.626506497E-1,7.808331270E1,1.422366793E1,1.010485546E1
6.268023455E1,3.053833939E1,1.143561024E2,2.528721496E1,6.230884011E-1,8.064506883E1,1.422326429E1,1.010542361E1
6.368021941E1,3.053833922E1,1.143561134E2,2.522015747E1,7.146994480E-1,8.520741955E1,1.422174239E1,1.010756533E1
6.468020463E1,3.053833649E1,1.143561212E2,2.500752682E1,7.316477945E-1,9.252449353E1,1.422171609E1,1.010760233E1
6.568018794E1,3.053833270E1,1.143561313E2,2.504926902E1,8.350518816E-1,9.679227303E1,1.422141565E1,1.010802504E1
6.668017220E1,3.053833065E1,1.143561396E2,2.489217456E1,8.148940116E-1,9.826647494E1,1.422177847E1,1.010751456E1
6.768015575E1,3.053832664E1,1.143561483E2,2.501117406E1,7.664308354E-1,1.034707522E2,1.422128178E1,1.010821338E1
6.868013716E1,3.053831954E1,1.143561595E2,2.487638292E1,9.215760069E-1,1.118897512E2,1.422134158E1,1.010812925E1
6.968011928E1,3.053831637E1,1.143561706E2,2.501779353E1,1.036535192E0,1.125409478E2,1.421918114E1,1.011116813E1
7.068009996E1,3.053831481E1,1.143561772E2,2.514260109E1,8.722476323E-1,1.108364546E2,1.421757142E1,1.011343148E1
7.168007982E1,3.053831338E1,1.143561840E2,2.535996609E1,6.608447872E-1,1.086881386E2,1.421752465E1,1.011349723E1
7.268006027E1,3.053831288E1,1.143561946E2,2.520392042E1,7.650603952E-1,1.049047651E2,1.421759662E1,1.011339605E1
7.368004036E1,3.053831024E1,1.143562042E2,2.552671566E1,8.056196443E-1,1.034732336E2,1.421683479E1,1.011446696E1
7.468001902E1,3.053830954E1,1.143562127E2,2.534142666E1,7.125130678E-1,1.018367758E2,1.421685892E1,1.011443304E1
7.567999911E1,3.053830877E1,1.143562225E2,2.523877888E1,7.442443778E-1,1.005147087E2,1.421564217E1,1.011614309E1
7.667997718E1,3.053830729E1,1.143562292E2,2.550556930E1,6.891313970E-1,9.912903831E1,1.421659162E1,1.011480874E1
7.767995536E1,3.053830559E1,1.143562395E2,2.526361327E1,7.566091906E-1,9.925370679E1,1.421700643E1,1.011422570E1
7.867993307E1,3.053830677E1,1.143562480E2,2.491776890E1,7.590978796E-1,9.693003926E1,1.421716147E1,1.011400776E1
